DATAFLOW,LAST UPDATE,freq,age,wstatus,unit,sex,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2021,22.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2022,21.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Austria,2023,22.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2021,24.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2022,26.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bosnia and Herzegovina,2023,23.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2021,28.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2022,26.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Belgium,2023,27.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2021,6.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2022,6.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Bulgaria,2023,4.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2021,35.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2022,35.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Switzerland,2023,34.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2021,21.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2022,18.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Cyprus,2023,22.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2021,14.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2022,13.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Czechia,2023,14.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2021,32.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2022,36.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Germany,2023,34.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2021,25.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2022,26.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Denmark,2023,24.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2021,36.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2022,36.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Euro area – 20 countries (from 2023),2023,34.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2021,3.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2022,8.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Estonia,2023,8.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2021,14.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2022,14.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Greece,2023,16.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Spain,2021,51.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Spain,2022,43.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Spain,2023,33.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,European Union - 27 countries (from 2020),2021,33.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,European Union - 27 countries (from 2020),2022,33.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,European Union - 27 countries (from 2020),2023,31.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Finland,2021,30.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Finland,2022,31.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Finland,2023,30.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,France,2021,35.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,France,2022,36.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,France,2023,36.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Croatia,2021,28.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Croatia,2022,29.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Croatia,2023,25.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Hungary,2021,8.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Hungary,2022,8.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Hungary,2023,7.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Ireland,2021,21.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Ireland,2022,19.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Ireland,2023,20.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Iceland,2021,26.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Iceland,2022,26.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Iceland,2023,20.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Italy,2021,40.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Italy,2022,39.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Italy,2023,37.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Lithuania,2021,3.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Lithuania,2022,3.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Lithuania,2023,3.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Luxembourg,2021,21.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Luxembourg,2022,18.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Luxembourg,2023,17.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Latvia,2021,4.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Latvia,2022,4.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Latvia,2023,4.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Malta,2021,12.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Malta,2022,11.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Malta,2023,13.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Netherlands,2021,51.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Netherlands,2022,49.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Netherlands,2023,48.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Norway,2021,22.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Norway,2022,19.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Norway,2023,18.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Poland,2021,29.6,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Poland,2022,31.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Poland,2023,31.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Portugal,2021,43.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Portugal,2022,41.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Portugal,2023,40.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2012,2.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2013,2.8,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2014,3.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2015,2.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2016,2.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2017,2.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2018,2.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2019,3.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2020,2.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2021,4.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2022,4.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Romania,2023,5.5,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Serbia,2021,38.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Serbia,2022,36.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Serbia,2023,35.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Sweden,2021,36.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Sweden,2022,37.7,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Sweden,2023,36.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovenia,2021,39.0,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovenia,2022,37.4,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovenia,2023,33.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovakia,2021,7.9,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovakia,2022,9.1,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Slovakia,2023,10.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Türkiye,2021,14.2,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Türkiye,2022,13.3,
ESTAT:TPS00073(1.0),12/11/24 23:00:00,Annual,From 15 to 29 years,Employed persons with temporary contract,Percentage of total employment,Total,Türkiye,2023,14.3,
